Number,Graduation,University,Major,Gender,Race,Firstgen,Interest,Degree,Research
1,Younger,"University of Texas, El Paso (UTEP)","Biomedical Engineering,Mechanical Engineering",Woman,African American/Black,Master's Degree,"I am considering it, but still on the fence.","Master's (non-thesis/courses only),Master's (thesis/courses + research)",No
2,Senior,"University of Puerto Rico, Mayaguez",Electrical and Computer Engineering,Man,Hispanic/Latino/a/e,Some College (No Degree),I am definitely interested and plan to go to graduate school.,"Master's (thesis/courses + research),Ph.D. (courses + research)",Yes
3,Senior,Morgan State University,"Materials Engineering,Mechanical Engineering",Woman,Middle Eastern/North African,Bachelor Degree,"I am considering it, but still on the fence.","Master's (non-thesis/courses only),Master's (thesis/courses + research),Ph.D. (courses + research)",Yes
4,Senior,Tuskegee University,"Electrical and Computer Engineering,Engineering Education",Woman,African American/Black,Master's Degree,I am definitely interested and plan to go to graduate school.,Ph.D. (courses + research),No
5,Senior,North Carolina A&T University,"Aeronautics and Astronautics,Mechanical Engineering",Man,Hispanic/Latino/a/e,Master's Degree,I am definitely interested and plan to go to graduate school.,"Master's (thesis/courses + research),Ph.D. (courses + research)",Yes
6,Dec Senior,Howard University,"Agricultural and Biological Engineering,Biomedical Engineering",Man,East Asian/Asian American,"Professional Doctorate Degree (law, medicine, music, or ministry)",I am definitely interested and plan to go to graduate school.,"Master's (thesis/courses + research),Ph.D. (courses + research)",Yes
7,Senior,Chicago State University,"Biomedical Engineering,Chemical Engineering",Man,Hispanic/Latino/a/e,Master's Degree,I am definitely interested and plan to go to graduate school.,Ph.D. (courses + research),Yes
8,Senior,"University of California, Irvine","Electrical and Computer Engineering,Materials Engineering",Man,White/European American,Bachelor Degree,I am definitely interested and plan to go to graduate school.,"Master's (thesis/courses + research),Ph.D. (courses + research)",Yes
9,Senior,University of Houston,"Aeronautics and Astronautics,Mechanical Engineering",Woman,Middle Eastern/North African,Don't know,I am definitely interested and plan to go to graduate school.,Ph.D. (courses + research),Yes
10,Younger,University of Texas at Arlington,"Agricultural and Biological Engineering,Chemical Engineering",Man,East Asian/Asian American,"Professional Doctorate Degree (law, medicine, music, or ministry)",I am definitely interested and plan to go to graduate school.,Ph.D. (courses + research),No
